url,handle,name,subscribers,videos_count,score_0_5,reason,discovery_keywords,channel_id,vertical,topic,stage,scored_at,source,live_videos_count
https://www.youtube.com/@%d0%90%d0%ba%d0%b0%d0%b4%d0%b5%d0%bc%d0%b8%d1%8f.%d0%9c%d0%b0%d1%81%d1%82%d0%b5%d1%80%d0%be%d0%b2,@%D0%90%D0%BA%D0%B0%D0%B4%D0%B5%D0%BC%D0%B8%D1%8F.%D0%9C%D0%B0%D1%81%D1%82%D0%B5%D1%80%D0%BE%D0%B2,РЕМОНТ ХОЛОДИЛЬНИКОВ С НУЛЯ,2810,64,5,"Refrigerator repair channel with titles showing real jobs, brands, earnings and step-by-step fault fixing.",ремонт холодильников,UCACUB1851TnnrHdyolFPAHw,hands,appliance-repair,wave1,2026-09-14,scraper,64
https://www.youtube.com/@angkieuinverter.daysuachua5225,@angkieuinverter.daysuachua5225,Đặng Kiều Inverter. Dạy sửa chữa bo mạch Điện Lạnh,2320,81,5,Dedicated training channel teaching PCB repair for AC/washer/fridge with hands-on practice on real boards.,sửa máy giặt | sửa tủ lạnh | sửa máy lạnh,UCbW_ea6Alu1QLBPH_g3o6gA,hands,appliance-repair,wave1,2026-09-14,scraper,81
https://www.youtube.com/@appliancefixwithnaurtex,@ApplianceFixWithNaurtex,Appliance Fix With  Naurtex,5670,66,5,"Explicitly real appliance repair channel showing diagnostics and root cause analysis for refrigerators, washers, ovens.",refrigerator repair | dishwasher repair,UCw6gabrav1rPTuo8XTdCNTQ,hands,appliance-repair,wave1,2026-09-14,scraper,66
https://www.youtube.com/@applianceknowledge,@Applianceknowledge,APPLIANCE KNOWLEDGE ,2720,334,5,Technician-run channel breaking down washer/fridge/dryer diagnostics and repairs step by step for real audiences.,dishwasher repair | dryer repair,UCVniR5V9swBA2wMbs90q22w,hands,appliance-repair,wave1,2026-09-14,scraper,334
https://www.youtube.com/@appliancerepairacademy,@ApplianceRepairAcademy,Appliance Repair Academy,16,62,5,"Dedicated appliance-repair training channel with real technician tutorials across refrigerators, washers, dryers, ovens.",washing machine repair | dryer repair | appliance repair technician | appliance repair course,UCvJJhHIrPieC9Fe-wbcygkw,hands,appliance-repair,wave1,2026-09-14,scraper,62
https://www.youtube.com/@dastechnician,@DASTECHNICIAN,DAS TECHNICIAN,49,83,5,"Dedicated AC/refrigeration technical channel with titles showing real repair jobs, error codes, compressor replacement, gas charging.",fridge repair Bangla,UCpx8_Qvl8Q4lFQtkAL6TF0g,hands,appliance-repair,wave1,2026-09-14,scraper,83
https://www.youtube.com/@djonibekdjamalov-m1r,@DjonibekDjamalov-m1r,Ремонт холодильников,40,64,5,"Refrigerator repair titles show motor replacement, capillary tube brazing, gas charging and diagnostics on camera.",ремонт холодильников,UClwQi93O_fHmV4L4DE6PrOQ,hands,appliance-repair,wave1,2026-09-14,scraper,64
https://www.youtube.com/@docelectromarc,@DocElectroMarc,Doc Electro Marc,19400,138,5,Appliance repair technician sharing free experience to help viewers repair rather than discard appliances.,réparation lave-linge,UC73j-EID6nZltrjzbyq6_Ng,hands,appliance-repair,wave1,2026-09-14,scraper,138
https://www.youtube.com/@electroluxmoscow7703,@electroluxmoscow7703,Electroluxmoscow ремонт крупной бытовой техники,1010,98,5,Dedicated appliance repair channel with bearing replacement instructions and training videos for washers/dryers/dishwashers.,ремонт стиральных машин | réparation lave-linge,UCNHRwubzChZN7gTirz7UJfQ,hands,appliance-repair,wave1,2026-09-14,scraper,98
https://www.youtube.com/@frigmistri,@frigmistri,Hajipur Refrigerator ,167,193,5,Refrigerator repair specialist with titles showing actual part replacements like condenser/candeshar change on multiple fridge models.,washing machine repair Hindi | fridge repair Hindi,UCBqfWX4rYOSTHwyPsjuKwxw,hands,appliance-repair,wave1,2026-09-14,scraper,193
