topic,description,video_url,Instructions,user1 decision,user1 decision date,user2,user3 decision date,user3,user3 decision date
channels,videos of channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/channels/mp4/UC-No2ITxJsNt50oJQ3fLmUA.mp4,,,,,,,
channels,videos of channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/channels/mp4/UC-_AkLn4A5iBr6BXN6waR_Q.mp4,,,,,,,
channels,videos of channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/channels/mp4/UC-s_s0Fznhv4mTss0YKmY4A.mp4,,,,,,,
channels,videos of channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/channels/mp4/UC0A-v_DL-h76F75xik8h03Q.mp4,,,,,,,
channels,videos of channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/channels/mp4/UC0HOUqH0Sb9pYcxOWxdh6-w.mp4,,,,,,,
channels,videos of channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/channels/mp4/UC0vb6cusSy2slVxGkyBiiRQ.mp4,,,,,,,
channels,videos of channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/channels/mp4/UC1N15bwJCPFHjEsun1epfmw.mp4,,,,,,,
channels,videos of channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/channels/mp4/UC1u8vBk71yQg-Pa3wSQMk9Q.mp4,,,,,,,
channels,videos of channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/channels/mp4/UC1yBKRuGpC1tSM73A0ZjYjQ.mp4,,,,,,,
channels,videos of channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/channels/mp4/UC2_MzrhoiYv2qXVzZoTQC9A.mp4,,,,,,,
channels,videos of channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/channels/mp4/UC2kMTY7QDxX98YVZdr32uCA.mp4,,,,,,,
channels,videos of channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/channels/mp4/UC2ozVs4pg2K3uFLw6-0ayCQ.mp4,,,,,,,
channels,videos of channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/channels/mp4/UC38bNJV-Z15_bObHOwCiPSA.mp4,,,,,,,
channels,videos of channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/channels/mp4/UC4fZeoNxAXfbIpT3swsVh9w.mp4,,,,,,,
channels,videos of channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/channels/mp4/UC4m46pCBkMEyy8gk26WKqbA.mp4,,,,,,,
channels,videos of channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/channels/mp4/UC5-ccSKgOpdTBOoya5Bcj_g.mp4,,,,,,,
channels,videos of channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/channels/mp4/UC58be4F7JgeyHXLEyp5aTdA.mp4,,,,,,,
channels,videos of channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/channels/mp4/UC5Gb9pWYSfcpEdTb6vf9Dbg.mp4,,,,,,,
channels,videos of channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/channels/mp4/UC5PstSsGrRwj2o6asQpC4Rg.mp4,,,,,,,
channels,videos of channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/channels/mp4/UC5g5h1SlrrST9y6q-aEBJHg.mp4,,,,,,,
