topic,description,video_url,Instructions,user1 decision,user1 decision date,user2,user3 decision date,user3,user3 decision date,demo_video
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UC-BSEgdAS9ChZQwxFYVk4Ew-score-4.mp4,,,,,,,,bad
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UC2GAA2bLWiVKA7cdirPfSSA-score-4.mp4,,,,,,,,bad
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UC2RJtEJ-eFD3T_ZNca3qEbw-score-5.mp4,,,,,,,,good
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UC4MMy_swlxJe45k9yNJUbQg-score-4.mp4,,,,,,,,good
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UC8Fh_mG9fdgd9ixvrkOdvIg-score-4.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCFAdhlCQvwbOWNgGyZBbImA-score-4.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCFrOZGI4v1NcBEL1hWH_hdw-score-5.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCGgHQ7FfyKxWv3ASoAdRD0g-score-5.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCGqVMKNnGLjqPj7mAsy3MTw-score-4.mp4,,,,,,,,
pottery_channels,videos of pottery_channels,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/pottery_channels/mp4/UCHU1Xy9ywjZcmMo5efWsPfw-score-5.mp4,,,,,,,,
