topic,description,video_url,Instructions,user1 decision,user1 decision date,user2,user3 decision date,user3,user3 decision date
tutorials,videos of tutorials,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/tutorials/mp4/UC-biucJWhM8HwjsQ96uoIUw.mp4,,,,,,,
tutorials,videos of tutorials,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/tutorials/mp4/UC05CNX0b0Sbg_ehvja002kA.mp4,,,,,,,
tutorials,videos of tutorials,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/tutorials/mp4/UC1M-aYC5-TA-a4UQU8-2IRQ.mp4,,,,,,,
tutorials,videos of tutorials,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/tutorials/mp4/UC1bCswyMks0iP1JnDTUGwIQ.mp4,,,,,,,
tutorials,videos of tutorials,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/tutorials/mp4/UC29ju8bIPH5as8OGnQzwJyA.mp4,,,,,,,
tutorials,videos of tutorials,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/tutorials/mp4/UC2OQxWDDE71D6AKrNa7XygQ.mp4,,,,,,,
tutorials,videos of tutorials,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/tutorials/mp4/UC3dEvA1is6-0_yuei9iCdEw.mp4,,,,,,,
tutorials,videos of tutorials,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/tutorials/mp4/UC4eJuitziY3akw_0Awm46Ew.mp4,,,,,,,
tutorials,videos of tutorials,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/tutorials/mp4/UC567DbfLo5ktc8JBrFKCQeA.mp4,,,,,,,
tutorials,videos of tutorials,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/tutorials/mp4/UC5XMF3Inoi8R9nSI8ChOsdQ.mp4,,,,,,,
tutorials,videos of tutorials,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/tutorials/mp4/UC5hf6Twak0iIzqtTRJ_w_qQ.mp4,,,,,,,
tutorials,videos of tutorials,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/tutorials/mp4/UC5uhMsX7CtTUDp50tKdGhbw.mp4,,,,,,,
tutorials,videos of tutorials,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/tutorials/mp4/UC7qMMY6UJHpNakTDMz6vVXQ.mp4,,,,,,,
tutorials,videos of tutorials,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/tutorials/mp4/UC8PqVwpbdoTRJT179wGmZ0A.mp4,,,,,,,
tutorials,videos of tutorials,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/tutorials/mp4/UC8XDBvQQ6bh_myqOgThGK7Q.mp4,,,,,,,
tutorials,videos of tutorials,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/tutorials/mp4/UC9NMaoV7Hky_ygbODWNumjw.mp4,,,,,,,
tutorials,videos of tutorials,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/tutorials/mp4/UC9PgszLOAWhQC6orYejcJlw.mp4,,,,,,,
tutorials,videos of tutorials,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/tutorials/mp4/UCA0FTqLiS88ELUo_5qbHS1g.mp4,,,,,,,
tutorials,videos of tutorials,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/tutorials/mp4/UCAwuvzhah0KUw5QNihSkEwQ.mp4,,,,,,,
tutorials,videos of tutorials,https://raw.githubusercontent.com/ariel-at-brightdata/labeling/main/tutorials/mp4/UCBtSgEZk914z5InEs_U2J3w.mp4,,,,,,,
