url,handle,name,subscribers,videos_count,score_0_5,reason,discovery_keywords,channel_id,vertical,topic,stage,scored_at
https://www.youtube.com/@holod_alex,@holod_alex,Ремонт холодильников.,1940,233,5,"Dedicated refrigerator repair channel covering soldering, capillary replacement, compressor replacement techniques.",ремонт холодильников,UCNnpORAP1M8RLP6lFZZfbLA,hands,appliance-repair,trial100,2026-09-14
https://www.youtube.com/channel/ucvpueidqwegukx1gsbdzqgg,@MrRahulTechnician01,Mr Rahul Technician,26,58,4,Titles show real washing machine repair and servicing jobs including diagnosing not-spin issues.,AC repair,UCVPUEiDqwegUkx1gsbdzqgg,hands,appliance-repair,trial100,2026-09-14
https://www.youtube.com/@saleemtechnicalinfo,@SaleemTechnicalinfo,Saleem Technical info,1980,268,4,Channel dedicated to fridge and freezer repair with step-by-step practical repairing tips described.,fridge repair,UCHmqmvXsW-_pbliiPu7xC3w,hands,appliance-repair,trial100,2026-09-14
https://www.youtube.com/@service-repair,@Service-Repair,Ac Repair Kopar Khairane ,584,51,4,"Titles show real washing machine gear change, PCB repair, mechanic footage across multiple appliances despite business-style desc.",AC repair,UCxYHh_2tVUcERoRKR1rol8Q,hands,appliance-repair,trial100,2026-09-14
https://www.youtube.com/@sirjamdeitech2194,@Techrepairgur26,Tech Repair Guru,3820,177,4,"Dedicated troubleshooting channel covering washing machine, fridge, motor and winding repairs.",washing machine repair | refrigerator repair,UCr3ojh7hu3NAQyvNkR-f_TQ,hands,appliance-repair,trial100,2026-09-14
https://www.youtube.com/@cfixd.,@cfixd.,CFIXD Home Appliances Repair and Service,121,73,4,"Dubai appliance repair service with titles covering washing machine, fridge, freezer, oven and dishwasher repair work.",washing machine repair | air conditioner repair | dishwasher repair,UCdc2itT2lo3wMa8_Hhht5Lg,hands,appliance-repair,trial100,2026-09-14
https://www.youtube.com/@jiadianweixuiliushifu,@jiadianweixuiliushifu,家电维修刘师傅,527,226,4,"Chinese home appliance repair channel with fridge, washing machine, AC repair tutorials, PCB replacement and installation content mixed in.",家电维修,UCRZx8qX_IFLtFH9jDVq75TQ,hands,appliance-repair,trial100,2026-09-14
https://www.youtube.com/@%d0%90%d0%ba%d0%b0%d0%b4%d0%b5%d0%bc%d0%b8%d1%8f.%d0%9c%d0%b0%d1%81%d1%82%d0%b5%d1%80%d0%be%d0%b2,@%D0%90%D0%BA%D0%B0%D0%B4%D0%B5%D0%BC%D0%B8%D1%8F.%D0%9C%D0%B0%D1%81%D1%82%D0%B5%D1%80%D0%BE%D0%B2,РЕМОНТ ХОЛОДИЛЬНИКОВ С НУЛЯ,2810,64,5,"Refrigerator repair channel with titles showing real jobs, brands, earnings and step-by-step fault fixing.",ремонт холодильников,UCACUB1851TnnrHdyolFPAHw,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@atxassistenciatecnica,@ATXASSISTENCIATECNICA,ATX Technical Assistance,6760,51,5,Dedicated step-by-step microwave and electric oven repair tutorial channel with clear practical focus.,appliance repair | 家电维修,UCpv0GEBM5U_pnL3orKBv41g,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@akairconditioner88,@Akairconditioner88,A.K AirConditioner,471,72,5,"Titles show detailed AC repairs: gas leak welding, condenser leak testing, valve replacement, restoration.",air conditioner repair,UCA4OjinUkuGuxuUEKafPaZQ,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@appliancefixlab,@ApplianceFixLab,Appliance Fix Lab,814,376,5,Dedicated appliance repair channel showcasing diagnostics and repair across many appliance types and brands.,appliance repair | washing machine repair | fridge repair | dryer repair,UCVBMw06QdQqfySyea1qK-lw,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@appliancefixwithnaurtex,@ApplianceFixWithNaurtex,Appliance Fix With  Naurtex,5670,66,5,"Explicitly real appliance repair channel showing diagnostics and root cause analysis for refrigerators, washers, ovens.",refrigerator repair | dishwasher repair,UCw6gabrav1rPTuo8XTdCNTQ,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@appliancerepairacademy,@ApplianceRepairAcademy,Appliance Repair Academy,16,62,5,"Dedicated appliance-repair training channel with real technician tutorials across refrigerators, washers, dryers, ovens.",washing machine repair | dryer repair | appliance repair technician | appliance repair course,UCvJJhHIrPieC9Fe-wbcygkw,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@applianceknowledge,@Applianceknowledge,APPLIANCE KNOWLEDGE ,2720,334,5,Technician-run channel breaking down washer/fridge/dryer diagnostics and repairs step by step for real audiences.,dishwasher repair | dryer repair,UCVniR5V9swBA2wMbs90q22w,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@appliances-help,@Appliances-Help,Appliance Help & Repair,753,189,5,"Florida appliance repair channel with detailed on-camera fixes: dryer belt/pulley, blower wheel, oven display repair.",appliance repair | home appliance repair | dishwasher repair | dryer repair,UCWj3kR-lN8nKiUrNfZqoLhQ,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@beardedappliancerepair,@BeardedApplianceRepair,Bearded Appliance Repair,57300,136,5,"Dedicated appliance repair channel covering ice makers, dishwashers and diagnostic troubleshooting DIY tips.",appliance repair | home appliance repair | dishwasher repair | dryer repair | appliance repair technician | appliance repair course | electronics repair,UCQDRFiJpJEMdnEjuYx8zn4w,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@billnewberry,@BillNewberry,Bill Newberry,190000,140,5,Dedicated appliance repair channel with troubleshooting and step-by-step repair videos across many appliance types.,appliance repair | refrigerator repair | dryer repair,UCzjWW4O7wxQCiB6eJMToSMA,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@dastechnician,@DASTECHNICIAN,DAS TECHNICIAN,49,83,5,"Dedicated AC/refrigeration technical channel with titles showing real repair jobs, error codes, compressor replacement, gas charging.",fridge repair Bangla,UCpx8_Qvl8Q4lFQtkAL6TF0g,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@djonibekdjamalov-m1r,@DjonibekDjamalov-m1r,Ремонт холодильников,40,64,5,"Refrigerator repair titles show motor replacement, capillary tube brazing, gas charging and diagnostics on camera.",ремонт холодильников,UClwQi93O_fHmV4L4DE6PrOQ,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@dmytro.troubleshooters,@Dmytro.troubleshooters,Troubleshooters Appliance Repair,270,311,5,"Dedicated appliance repair company channel explicitly showing real step-by-step washer, dryer, fridge repair jobs.",appliance repair | fridge repair | dishwasher repair,UCYg4Q18vg1dOIwQWgO2vF_Q,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@docelectromarc,@DocElectroMarc,Doc Electro Marc,19400,138,5,Appliance repair technician sharing free experience to help viewers repair rather than discard appliances.,réparation lave-linge,UC73j-EID6nZltrjzbyq6_Ng,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@easyfixapplianceltd,@EasyFixApplianceLTD,EasyFix Appliance LTD,64,136,5,"Vancouver repair company with detailed part-replacement videos: gasket, shock absorbers, igniter.",appliance repair | dishwasher repair,UCsxLSq-J95NL16mbmysqSPg,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@escaladeappliancerepair-fx7tf,@EscaladeApplianceRepair-fx7tf,Escalade Appliance Repair Services,21,212,5,Appliance repair company channel with detailed step-by-step washer gearcase and compressor repair video series.,appliance repair | fridge repair | dryer repair,UCAR1OgcAaoautLsvO8SVdGg,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@huangheng-m6k,@HuangHeng-m6k,家电维修黄哥H,2200,368,5,Home appliance repair technician sharing real repair process videos.,家电维修,UCAfN7WFLy7jMoSM474r6k5g,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@inshakhan-o1t,@InshaKhan-o1t,GENEX SOLUTION HELP LINE AIR CONDITION REPAIRING  ,52,68,5,"Titles show real refrigerator repairs: defrost problem solving, compressor change, gas charging.",washing machine repairing,UCcT2XkaqLY1TCRgdW-Sygaw,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@laowurepair,@LaoWuRepair,Old Wu Electrical Maintenance,5730,1922,5,Professional appliance maintenance channel sharing repair process and experience across various electrical appliances.,家电维修,UChO9tE2cadVzsioqEcBHOFQ,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/channel/ucigmt4louxwh9jo6wpibxcg,@LarryjrCamacho78,Doctechnics,54,103,5,"Dedicated appliance repair channel with washing machine, dryer and dishwasher error-code fixing titles shown in detail.",electronics repair,UCigMT4LoUXWH9jO6WpIBXCg,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@macterckaya134,@Macterckaya134,РЕМОНТ СТИРАЛЬНЫХ МАШИН,414,57,5,13-year repair technician showing how he performs washing machine repairs on camera.,ремонт стиральных машин | réparation lave-linge,UC1ZBmxErfQ7ZqX9DLmLWJxA,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@master_lavadoras,@Master_Lavadoras,Master_Lavadoras,334,196,5,Dedicated washing machine repair channel with step-by-step diagnostic and repair videos in Spanish.,reparación de lavadoras,UCDKkYiaq3lP52m8ZsqD0tGw,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@mega-elektro21,@Mega-Elektro21,Mega-Elektro21,810,67,5,Dedicated appliance repair channel with detailed washing machine bearing replacement and dishwasher drawer repair titles.,electronics repair,UCoMZ6MidgZrgaGPd-R_gR7g,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@pawan_tec832,@Pawan_tec832,Pawan tec832,435,59,5,Dedicated washing machine PCB and drain repair channel with detailed error-code fixing titles.,electronics repair,UCuzu4G7Mf00hxK1WbZZm1Yg,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@r89..,@R89..,ช่างรถ  ซ่อมดะ,16,84,5,Channel explicitly teaches fridge and appliance repair on camera with dishwasher door switch replacement shown.,ซ่อมตู้เย็น,UCJTSqi53Al1PeXgl384ScOA,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@rsreparaciones,@RSReparaciones,RS Reparaciones,8260,1385,5,"Specialized channel showing real step-by-step diagnostics and repairs of washers, fridges and AC.",reparación de lavadoras | reparación de aire acondicionado,UCOocuUcMnCMjKIRzmLg9pgw,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@randysheretohelp,@RandysHereToHelp,Randy's Here To Help,3030,180,5,Washer/dryer repair technician channel dedicated to detailing common and complex appliance repairs.,appliance technician | conserto de máquina de lavar | ремонт стиральных машин | 家电维修 | réparation lave-linge,UC95bveL2_mWyXO3u3_q2OGQ,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@reparacionesspartan,@ReparacionesSpartan,FRÍO SPARTAN reparaciones ,2980,635,5,"Dedicated channel for real repair of appliances, electronics and AC units shown on camera.",reparación de lavadoras | reparación electrónica,UCy3yOVlxsVJlewu2ZErKzXg,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@scottthefixitguychannel,@ScottTheFixItGuyChannel,Scott The Fix-It Guy  -  Appliance Repair Videos ,80100,1477,5,"Dedicated appliance repair channel with 1500+ DIY videos on washers, dryers, dishwashers, ovens, fridges.",appliance repair | home appliance repair | washing machine repair | dishwasher repair | dryer repair,UC7fBqy8806u1r0NpPv_fQ2w,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@siraj_electronics,@Siraj_Electronics,Siraj Electronics,80,109,5,"Titles show AC service, IFB washing machine drain pipe repair and Bosch washing machine repair on camera.",electronic repair,UCin36XSrwSYoVZPamVce-fQ,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@tempermaq,@Tempermaq,Tempermaq,322000,1115,5,"Dedicated practical appliance repair teaching channel covering washers, fridges, freezers, microwaves, PCBs and compressors.",conserto de geladeira,UCC63YsIYAYe7gjLJRiOFELA,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@videoreparacion,@VideoReparacion,Video Reparacion,195000,586,5,"Family channel with step-by-step DIY repair guides for coffee makers, washers, AC, dryers, dishwashers.",reparación de lavadoras,UCSpvL_2T9EfdyCKEammNhjw,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@afastlocalrefrigeratorrepa2381,@afastlocalrefrigeratorrepa2381,A Fast Local Refrigerator Repair,61,141,5,Dedicated refrigerator repair business with titles showing real diagnostic and part replacement work like leaks and cooling fixes.,refrigerator repair | fridge repair | sửa tủ lạnh | reparación de refrigeradores | buzdolabı tamiri | تعمیر یخچال,UCoZM9xRhJ-ULFkeYyjAZVZw,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@akinfohomeappliancesrepair,@akinfohomeappliancesrepair,AK info Homeappliances Repair Training,522,161,5,"Home appliance repair training institute covering AC, fridge, washing machine with practical multimeter and PCB titles.",fridge repair | appliance repair course | UPS repair | electronics repair course,UCk8kH0_XLhKC1SSHmpvWX9w,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@angkieuinverter.daysuachua5225,@angkieuinverter.daysuachua5225,Đặng Kiều Inverter. Dạy sửa chữa bo mạch Điện Lạnh,2320,81,5,Dedicated training channel teaching PCB repair for AC/washer/fridge with hands-on practice on real boards.,sửa máy giặt | sửa tủ lạnh | sửa máy lạnh,UCbW_ea6Alu1QLBPH_g3o6gA,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@appliancesrepairtechnician,@appliancesrepairtechnician,Appliances Repair Technician,315,118,5,"Titles show specific washing machine repairs (no water input, not draining) with brand names and fix times, clear technician work.",washing machine repair | refrigerator repair | appliance repair technician | reparación de lavadoras | Waschmaschine reparieren | TV repair | LED TV repair | electronics repair no talking | TV repair technician,UCuRucSvPwBusFLmZryhVGAQ,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@chenxijiangjiadian,@chenxijiangjiadian,Chenxi Talks About Home Appliances,343,99,5,"Chinese channel with long titled videos on washing machine, fridge, and AC repair techniques and troubleshooting.",appliance repair | home appliance repair | 家电维修,UC4LU_EYHkXr3pYtYJ1mkuAg,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/channel/uc0njjlycujpt7gou-cm6bea,@cool-techaalok, Home Appliance Repair ,55,65,5,"Hindi appliance repair channel with practical PCB, compressor and wiring repair titles.",appliance repair | home appliance repair | washing machine repair | fridge repair | AC repair | dishwasher repair | appliance repair technician | washing machine repair Hindi | fridge repair Hindi | AC repair Hindi,UC0NJjlYCUJpt7GOU-cm6BEA,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@dawoodstone4288,@dawoodstone4288,Daz Appliance Repair ,131,120,5,"Dedicated washer repair channel with tub replacement, bearing swap and disassembly videos shown step by step.",appliance repair | home appliance repair | fridge repair | dishwasher repair | appliance repair technician,UCjCKIORglXTlNsOwO49EqMw,hands,appliance-repair,wave1,2026-09-14
https://www.youtube.com/@electroluxmoscow7703,@electroluxmoscow7703,Electroluxmoscow ремонт крупной бытовой техники,1010,98,5,Dedicated appliance repair channel with bearing replacement instructions and training videos for washers/dryers/dishwashers.,ремонт стиральных машин | réparation lave-linge,UCNHRwubzChZN7gTirz7UJfQ,hands,appliance-repair,wave1,2026-09-14
