url,handle,name,subscribers,videos_count,score_0_5,reason,discovery_keywords,channel_id,vertical,topic,stage,scored_at,source,live_videos_count
https://www.youtube.com/@%e4%b8%ad%e5%bc%8f%e6%a6%ab%e5%8d%af%e4%bc%a0%e6%89%bf%e4%ba%ba,@%E4%B8%AD%E5%BC%8F%E6%A6%AB%E5%8D%AF%E4%BC%A0%E6%89%BF%E4%BA%BA,中式榫卯传承人,256000,351,5,Dedicated Chinese mortise-and-tenon joinery channel filming on-site traditional woodworking builds.,mortise and tenon | stolarstwo,UCLKVR42avWUjV-Y3ve_HUZw,hands,furniture-woodworking,wave1,2026-09-14,scraper,351
https://www.youtube.com/@2ndlife.furniture.restoration,@2ndlife.furniture.restoration,2ndlife Furniture Restoration,24000,676,5,"Dedicated furniture restoration channel transforming antique and vintage furniture pieces, on-topic repair format.",furniture restoration,UCB3jW8WE52oxjr4nIAqQGDA,hands,furniture-woodworking,wave1,2026-09-14,scraper,676
https://www.youtube.com/@andyrawls,@AndyRawls,Andy Rawls (ar_txwoodcraft),507000,343,5,Full-time custom furniture business owner filming his craft and builds for the channel.,woodworking | joinery | نجارة | làm mộc,UCBwNg2ZtfQAY4zvBbryDyAQ,hands,furniture-woodworking,rest1,2026-09-14,scraper,343
https://www.youtube.com/@atelierjvpoy,@ATELIERJVPOY,JV POY WORKSHOP,11800,66,5,"French cabinet maker showing custom furniture design, kitchens, carpentry and furniture restoration processes.",stolarstwo,UCutQtIcVbB6fHOs5EWPu87Q,hands,furniture-woodworking,rest1,2026-09-14,scraper,66
https://www.youtube.com/@daileywoodworks,@DaileyWoodworks,Robert Dailey - Dailey Woodworks,44300,340,5,Custom furniture and cabinetry maker teaching build techniques for heirloom furniture and built-ins.,làm mộc,UCbWh4ImAnLV7LEgi2i9YqmA,hands,furniture-woodworking,wave1,2026-09-14,scraper,340
https://www.youtube.com/@derrickibbottfurniture,@DerrickIbbottFurniture,Derrick Ibbott Furniture,1710,58,5,Bespoke furniture maker sharing techniques and processes behind kitchen and furniture commissions.,wood furniture making | ebanistería | Möbelbau,UClQaa8E70XvpxvVbkvZWDfg,hands,furniture-woodworking,wave1,2026-09-14,scraper,58
https://www.youtube.com/@doucetteandwolfefurniture,@Doucetteandwolfefurniture,Doucette and Wolfe Furniture Makers,50500,86,5,Dedicated custom/reproduction furniture shop filming full building process from shop to finished piece.,wood furniture making | muebles de madera | งานไม้,UCjatELwdjLj3_03Q80iTc_g,hands,furniture-woodworking,rest1,2026-09-14,scraper,86
https://www.youtube.com/@drwoodworking,@DRwoodworking,DR woodworking,826,65,5,"Dedicated hand-tool woodworking channel, clear focus on hand-tool furniture/joinery work.",hand tool woodworking,UCeB7UHSeBbYgOSz4wIwFt2Q,hands,furniture-woodworking,wave1,2026-09-14,scraper,65
https://www.youtube.com/@eastoakwoodworking,@EastOakWoodworking,East Oak Woodworking,10900,57,5,Dedicated furniture-build channel filming client commissions from start to finished custom pieces.,joinery | woodworking workshop,UC-bv3HpYt7gd_eBR22OtEeg,hands,furniture-woodworking,wave1,2026-09-14,scraper,57
https://www.youtube.com/@falegnameriaclassica4383,@falegnameriaclassica4383,Classic carpentry,5420,73,5,"Traditional woodworking channel emphasizing hand tools and vintage techniques over CNC, strong process focus.",falegnameria,UC_349MTrCJ8sFylH6rYomTQ,hands,furniture-woodworking,rest1,2026-09-14,scraper,73
https://www.youtube.com/@foureyes.furniture,@Foureyes.Furniture,Foureyes Furniture,1460000,242,5,Dedicated furniture-making channel documenting design and building of original wood pieces since 2016.,woodworking | furniture making | joinery | cabinet making | woodworking workshop | building a table | chair making | wood furniture making | carpenter work wooden furniture,UC1V-DYqsaj764uBis9-UDug,hands,furniture-woodworking,wave1,2026-09-14,scraper,242
https://www.youtube.com/@garynelles,@garynelles,Gary Nelles Woodworking,5000,92,5,"Custom furniture builder since 2007, dedicated furniture-making channel.",hand tool woodworking,UC9_MlAyUbRLskpwrnrDTl2g,hands,furniture-woodworking,rest1,2026-09-14,scraper,92
https://www.youtube.com/@gjbmunc,@gjbmunc,Graham Blackburn Woodworking,41700,91,5,Dedicated hand-tool woodworking channel teaching traditional furniture-making techniques without machines.,joinery | carpentry | hand tool woodworking | woodworking workshop,UCfS2J_-HQhEAHvw3ofw14yw,hands,furniture-woodworking,wave1,2026-09-14,scraper,91
https://www.youtube.com/@grittogold,@grittogold,Grit to Gold antique furniture restoration,492,70,5,"Antique furniture restoration channel focused on repair and craftsmanship, fitting furniture repair scope well.",furniture restoration,UCRKTF2T9aPNOuxb2OI8b0uw,hands,furniture-woodworking,wave1,2026-09-14,scraper,70
https://www.youtube.com/@hffcom,@hffcom,hffcom,64100,374,5,"Small-shop furniture builder documenting custom furniture building methods, job orders and shop production woodworking.",wood furniture making | carpenter work wooden furniture,UCD2qHSqGqP8xdIhSFfxQlkA,hands,furniture-woodworking,rest1,2026-09-14,scraper,374
https://www.youtube.com/@honeybadgerwoodworks,@HoneyBadgerWoodWorks,HoneyBadger WoodWorks,42900,859,5,"Small custom furniture business filming in-depth step-by-step builds in a workshop, ideal fit.",woodworking | woodworking workshop,UCqKCuJ4_6T4H_3ZOPSPANHg,hands,furniture-woodworking,wave1,2026-09-14,scraper,859
