url,handle,name,subscribers,videos_count,score_0_5,reason,discovery_keywords,channel_id,vertical,topic,stage,scored_at
https://www.youtube.com/@balaji_mobilesolution03,@Balaji_mobilesolution03,Balaji mobile Solution ,100,83,5,"Dedicated chip-level and hardware mobile repair channel listing IC diagnosis, reballing-adjacent, water damage and board work.",chip level repairing,UCmHqBp_Zk71Ocq1uyu08qqg,hands,phone-repair,trial100,2026-09-14
https://www.youtube.com/@bhagwatilal_kumawat,@Bhagwatilal_kumawat,MOBILE DOCTOR BHARUCH,458,85,5,"Titles show back panel change, display replacement and full assembly of multiple phone models.",मोबाइल रिपेयरिंग,UCWUb0TN7Ht0-1zwBhZeptdA,hands,phone-repair,trial100,2026-09-14
https://www.youtube.com/@chaudhary9221,@Chaudhary9221,CB brother's care @9221,736,191,5,"Titles show chip-level microscope soldering, motherboard repair, and display replacements on camera.",phone repair | mobile repairing | mobile phone repair | iphone repair | mobile repairing course,UCNiPtC0MJ-R8cGbZQTJMPBg,hands,phone-repair,trial100,2026-09-14
https://www.youtube.com/@repairmobileshub,@Repairmobileshub,Repair mobiles hub,62,85,5,Chip-level repair channel with display replacement full-process titles and microscope tool reviews.,mobile repairing | chip level | chip level repairing,UCcMGffpZXZXp9YBvAWpAnyw,hands,phone-repair,trial100,2026-09-14
https://www.youtube.com/@truetoneghaziabad,@TRUETONEGHAZIABAD,TRUETONE GHAZIABAD ,464,68,5,"Advanced chip-level repair channel covering eMMC/UFS programming, schematic diagrams, IC pasting and iPhone board repair.",phone repair | mobile repairing | iphone repair | emmc,UCfghxIEgKf0uMJ-5tt7G_kQ,hands,phone-repair,trial100,2026-09-14
https://www.youtube.com/@roccotech5772,@roccotech5772,ROCCO TECH,14000,92,5,"Advanced mobile repair channel offering CPU reballing course and repair services, strong chip-level repair signals.",mobile repairing,UC3REClvHp70y7Y2V2YPcDjQ,hands,phone-repair,trial100,2026-09-14
https://www.youtube.com/@gsmrahat,@GsmRahat,Gsm Rahat,163000,804,4,"Mobile servicing training center with practical repairing tips, tools reviews and training classes.",mobile repairing | mobile repairing course | mobile repairing bangla,UC2N8wdZ-evdvKJzeMS5_2Nw,hands,phone-repair,trial100,2026-09-14
https://www.youtube.com/@mobilecarezone0000,@MobileCareZone0000,Mobile Care Zone,346,65,4,"Mobile repairing course channel with titles covering charging circuits, mic conversion and component-level lessons like inductors.",mobile repairing,UCpL0NF6NmS_-nFer3DX0lrA,hands,phone-repair,trial100,2026-09-14
https://www.youtube.com/@mobiletechvikas,@MobiletechVikas,Mobile tech Vikas,127,114,4,Practical mobile repair channel with schematic diagram titles pointing to chip-level board repair content.,mobile repairing,UCKJ_B_Nz32WK2k0kV7cF3Gw,hands,phone-repair,trial100,2026-09-14
https://www.youtube.com/@mtslabnepal,@Mtslabnepal,MTS screen refurb Lab,724,765,4,"Screen refurb lab and repair specialist shop description, strong topic fit for phone repair.",phone repair | cell phone repair | phone screen replacement,UCmE9DPhJeyhy3UVNL_Iz_1Q,hands,phone-repair,trial100,2026-09-14
