i,url,handle,name,subscribers,videos_count,views,created_date,location,product,discovery_keywords,family,channel_id,score_0_5,reason,other_topic,scored_by,bucket,evidence,description,top_video_titles,links
0,https://www.youtube.com/@sarahwaltonpottery,@SarahWaltonPottery,Sarah Walton Pottery,13400,74,1035711,2018-12-08,,,wheel throwing,filter:technique,UCmKUDYj3Vph4XwKBpQwE4mw,5,"Dedicated pottery channel covering wheel throwing centering, glaze, kiln, home studio content.",,sonnet,keep,desc,"If you enjoy pottery /ceramic making videos; how to applying glaze, glaze combo ideas, glaze layering tips, kiln openings and handbuilding. I've got YOU! Wheel throwing for all pottery levels...yes, I've got you too my beginner pottery peeps...looking for tips to help you centre on the potters wheel, look no further...this channel is for YOU! I share everything I do in my home pottery studio, studio tours, pottery tool must have and essential pottery equipment. I share my secrets that will help and inspire your own pottery journey, and entertain you too! ☕️ BUY ME A COFFEE: https://www.buymeac",,sarahwaltonpottery.com | instagram.com/sarah_walton_pottery | pinterest.ca/sarah_walton_pottery
1,https://www.youtube.com/@storiesnstoneware,@storiesnstoneware,Stories N' Stoneware (Annie Gietz),1070,218,153483,2013-11-30,,,pottery wheel,filter:tool,UC-BSEgdAS9ChZQwxFYVk4Ew,4,"Pottery studio vlogs mixing wheel work with storytelling and shop content, wheel throwing prominent.",,sonnet,keep,desc,"Multi-passionate artist inspired by stories and creating in clay. Follow my vlogs as I create a living from writing, pottery, and storytelling. Interested in my work? Check out my website at www.storiesnstoneware.com for email sign up, my shop and available social media platforms. Tags: Pottery, Pottery wheel, pottery videos, handmade pottery, handmade ceramics, studio vlogs,",,patreon.com/storiesnstoneware | instagram.com/annie_gietz | bit.ly/3uKAlRS
2,https://www.youtube.com/@user-paradise777,@user-paradise777,해외선물 매직 파라다이스 자동매매프로그램,25,125,3922,2023-09-12,,,물레,filter:lang,UCNBFU0i39gxNEg0yhIkh4Jw,0,"Korean forex trading channel, 물레 collides with 시물레이션 simulation, no pottery content.",,sonnet,drop,desc+titles,"증권투자 20년차입니다. 해외선물 자동매매프로그램에 적용되는 알고리즘을 개발합니다. 모의투자는 개발되는 알고리즘의 검증용으로 실행하고 있습니다~ 모든상품에 적용이 가능하며, 현재는 나스닥차트에 적용하고 있습니다~ 개발된 알고리즘 유형에 따라 업그레이드 해봤습니다~ 2025년은 10년동안 개발됬던 중요한 3가지 알고리즘을 통합하는 작업을 진행중입니다. 1.세이프디테 2.락크라임 3.뱀부스폴 와중에 새롭게 개발된 데우스봇ai가 일중,월중의 무손실을 달성할 가능성이 커지면서 실전모의와 시물레이션을 통한 타임머신클론 비교검증을 실시중입니다. #해외선물 #해외선물 매직#해외선물 나스닥","해외선물 나스닥 데우스봇 실전모의 1958틱20251030 14 minutes, 34 seconds | 해외선물 나스닥 데우스봇 시물레이션 2 minutes, 2 seconds | 해외선물 나스닥 데우스봇 20251022실전모의 틱수익 14 minutes, 55 seconds | 데우스봇 20251021 모의 4 minutes, 53 seconds | 데우스봇 시물레이션 2 1 minute, 36 seconds | 해외선물 데우스봇  시물레이션 완료 5 minutes, 45 seconds | 데우스봇 20250930 실전모의 틱수익 15 minutes | 해외선물 나스닥 20250925 11 minutes, 42 seconds | 해외선물 나스닥 20230923 24 seconds | 해외선물 나스닥 20250922 5 minutes, 18 seconds | 해외선물 데우스봇 20250917EFf컨셉2 15 minutes | 데우스봇 20250912 D컨셉4 19 seconds |",open.kakao.com/o/gFcGP5vg
3,https://www.youtube.com/@assadoit6849,@assadoit6849,ASSA DOIT,14700,142,7263714,2017-04-25,,,물레,filter:lang,UClNmtzhMI0YdV0Lcitl-fdg,0,"Wrestling/struggle channel, 물레 keyword collision from 고인물레젼드, unrelated to pottery.",,sonnet,drop,desc,고젼드(고인물레젼드) 아싸들의 몸부림과 씨름을 전문으로 다루는 채널입니다!,,instagram.com/assadoit/?hl=ko
4,https://www.youtube.com/@musiclov344,@MusicLov344,해외선물 우리,20100,59,13031,2023-05-25,,,물레,filter:lang,UCDSFL8cRw-sJiE6x5ux6uQA,0,"Korean forex trading livestream channel, keyword collision with 해외선물레전드, no pottery evidence.",,sonnet,drop,desc,해외선물 우리TV 생방송안내 우리TV 월~금 23:00~02:00 매일방송중 ↓해외선물 우리 홈페이지↓ https://www.abskor.com/ #해외선물 #해외선물실시간 #해외선물현수 #해외선물현지 #주식 #코인 #비트코인 #해외선물하는방법 #해외선물하는법 #해외선물공부 #해외선물초보 #해외선물레전드 #해외선물수익,,abskor.com
5,https://www.youtube.com/@artistyogeshbarnela,@artistyogeshbarnela,Artist Yogesh Barnela,1170,435,607884,2012-07-29,,,pottery wheel,filter:tool,UClrMf7hWZcP5b3cFwdyYA2g,1,Miniature sculpture/record-breaking artist channel mentions a motorized pottery wheel only in passing.,,sonnet,drop,desc,"Welcome to my official YouTube channel! I am Yogesh Barnela, a Guinness World Record holder and a passionate artist specializing in easy Drawing, Easy 3d Illusion drawing, Sketching, miniature art, sculpture, painting, and innovative crafts. I have created the world’s smallest toothpick sculpture, a working circular saw, a motorized pottery wheel, and many other record-breaking miniatures. My dedication to detail has led me to craft the Taj Mahal using thermocol and an airplane model using old railway tickets. Join me on this creative journey by subscribing and turning on notifications for ama",,facebook.com/yogesh.barnela | instagram.com/yogeshbarnela | twitter.com/YogeshBarnela?t=2Zz3S2hs4w4AKGAeHok-QQ&s=08
6,https://www.youtube.com/@harleyweiglestudio,@harleyweiglestudio,Harley Weigle Studio,2720,113,430704,2022-08-11,,,wheel throwing,filter:technique,UCLSQBHOIriZ1FA9UWucwa-Q,5,"Ceramic artist/educator channel focused explicitly on wheel throwing, functional pottery and studio process.",,sonnet,keep,desc,"Hi, I’m Harley Weigle, a ceramic artist and educator behind Weigle Ceramics. This channel focuses on wheel throwing, functional pottery, studio process, and ceramics education — sharing both technique and the long-term mindset it takes to grow as a maker.",,
7,https://www.youtube.com/channel/ucram9qpvwtm9ysvagw8ktea,@RoopamCommunity,Roopam,444000,310,678363501,2023-06-03,,,pottery wheel,filter:tool,UCRAm9QPvwTm9YsvAGw8kTEA,3,Studio offers wheel classes and rentals but description reads as business services without confirmed on-camera process.,,sonnet,gray,desc,"Spreading the joy of pottery ♥️ Ceramics course, pottery wheel rentals & paint on ceramics👇🏻",,roopamtools.com | roopam.ooo/courses/handbuilding-basics | roopam.ooo/rentals/wheel
8,https://www.youtube.com/@tv-ry1cg,@TV-ry1cg,해외선물 이싸TV : 선승구전(先勝求戰),2010,57,5806,2021-11-18,,,물레,filter:lang,UCk-X6lf0VwYzIzaymtXvJEw,0,"Korean overseas futures trading channel, 물레 keyword collision, no pottery content.",,sonnet,drop,desc,"✨해외선물 단톡방,업체 상담문의✨ ✨1대1문의클릭 ✨ https://open.kakao.com/o/s3EauFBe 📊단톡방 : https://open.kakao.com/o/gENqHFBe 📊코드 : 1:1문의 후 입장 가능 ( 입장 시 간단한 인사만 부탁드리겠습니다 ) ==================================== 해외선물 이싸TV : 선승구전(先勝求戰) 방송시간 오전 : 10시~13시 / 야간 : 21시~24시 - 방송송출 : (유튜브/A-Pro) ==================================== ✨✨해외선물 이싸TV : 선승구전(先勝求戰)✨✨ "" 먼저 싸우고 이기기를 바라지 말고 싸우기 전에 이겨 놓고 진입하자. "" 1. 충분한 시간을 두고 지정된 진입가로 체결을 기다리는 방식으로 매매합니다. 2. 애매한 진입, 진입가, 청산시점 속이기 같은 리딩은 하지않고 절대 결과를 속이지 않습니다. 3. 검증된 기법에 기반한 매매로 혼자서도 안정된 수익을 내실수 있도록 교육합니다. 4. 큰 리스크 없는 매매방식으로 지속적이고 안정된 수익을 추구합니다. ==================================== #해외선물,#",,
9,https://www.youtube.com/@ifpottery,@IFpottery,IF pottery,378,222,68365,2016-08-09,,,pottery wheel | trimming pottery,filter:tool,UCxnCciwEYWOk5X7HEPC-j3A,2,"Pottery keyword-stuffed description but titles show unrelated poetry/attitude shorts, little real throwing footage.",,sonnet,drop,desc+titles,"Welcome 🤗 My channel name IF pottery please subscribe my youTube channel Shorts Short Ytshort YouTube shorts pottery,handmade pottery,pottery wheel,how to make pottery,asmr pottery,pottery for beginners,making pottery,how to throw pottery,pottery making,pottery studio,stoneware pottery,clay pottery,wheel thrown pottery,pottery at home,ancient pottery,how to trim pottery,primitive pottery,make pottery at home,make pottery,pottery vase,pottery bowls,firing pottery,waxing pottery,pottery lessons,trimming pottery,relaxing pottery,painting pottery","Mada kaam Ni air 🤟💔🥺😊🤞📨😠😢❤️😢🎉🙂😢🙏VIP trending video 📸 Imtiaz Fakhar 💕🤟🤣 27 seconds | #poetry #attitude #ad ##@newsviews25-o7n 1 minute, 3 seconds | #tadia Kori sabi kasma #poetry #ceramicclay #potteryclay #potteryclay #poetry #ceramicclay # 1 minute, 41 seconds | I f pottery 26 seconds | 25 January 2023 2 minutes, 7 seconds | imtazfakher56 37 seconds | imtazfakher56 1 minute, 7 seconds | imtazfakher56 25 seconds | chacha ramzna 32 seconds | 10 December 2022 19 seconds | waseem jutt 309 kine Maste",
